PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
34.68,85.16,12.3,39.38,43.73,13.59,1.27,7.3,43.88,0.52,2.73,106.0,Moderate
81.77,,15.46,51.42,,,1.14,4.75,29.14,1.5,3.11,153.0,Moderate
66.8,,6.1,26.68,21.2,30.02,1.04,4.55,43.19,0.34,2.26,114.0,Moderate
78.59,142.62,11.17,40.02,39.8,19.75,1.05,6.32,66.64,0.85,2.8,179.0,Moderate
66.52,215.41,16.14,26.75,28.1,,0.48,7.76,49.54,1.99,6.0,173.0,Moderate
26.52,60.92,23.07,14.67,20.22,39.73,1.36,7.6,30.39,0.0,,105.0,Moderate
76.14,122.93,4.44,34.16,20.56,12.1,0.71,4.23,36.84,2.47,9.73,132.0,Moderate
52.64,115.98,10.22,35.23,39.12,48.12,0.74,14.76,66.26,1.78,9.97,109.0,Moderate
60.51,107.1,8.57,36.85,12.13,25.37,0.47,38.63,66.96,0.13,2.09,112.0,Moderate
20.11,97.93,32.97,8.17,34.1,31.23,1.52,39.12,21.48,0.0,0.0,101.0,Moderate
44.32,118.8,12.34,38.3,37.28,16.05,0.94,5.15,47.32,1.25,4.25,108.0,Moderate
97.75,,36.94,22.36,59.31,,1.67,3.11,8.33,0.19,0.94,194.0,Moderate
68.34,172.35,22.57,48.19,64.14,25.2,1.16,10.68,54.68,3.93,10.32,188.0,Moderate
36.35,97.03,4.78,52.87,29.36,,4.78,42.9,52.15,0.99,32.61,168.0,Moderate
47.13,149.6,11.63,41.97,51.65,20.16,0.67,10.37,24.9,0.57,2.35,126.0,Moderate
55.49,,8.6,14.61,22.21,24.23,0.77,8.78,46.55,0.17,0.28,155.0,Moderate
,127.41,8.79,9.26,,6.88,0.27,88.02,38.03,,,110.0,Moderate
83.64,118.52,1.83,15.67,9.82,19.48,0.84,16.5,50.47,0.94,4.12,166.0,Moderate
81.14,221.03,39.4,44.81,57.51,35.47,1.25,14.33,42.38,4.61,50.09,189.0,Moderate
69.65,103.25,9.49,34.17,39.9,31.42,2.39,9.43,51.31,2.96,9.9,190.0,Moderate
76.87,181.59,7.6,8.46,9.03,,0.21,13.35,36.84,0.0,0.0,161.0,Moderate
62.08,131.56,12.65,19.46,32.1,10.25,3.83,14.87,20.89,0.0,,124.0,Moderate
32.33,,2.56,10.69,4.76,,1.84,16.53,57.49,0.17,0.34,103.0,Moderate
,147.58,10.7,10.67,,6.97,0.35,37.13,92.07,,,158.0,Moderate
64.93,140.68,25.56,17.85,36.32,82.58,0.94,5.98,28.69,238.14,,126.0,Moderate
86.98,116.0,2.72,1.94,4.51,11.18,0.62,3.9,35.23,1.66,8.04,156.0,Moderate
46.11,123.94,66.59,18.02,60.21,2.82,1.07,19.31,11.61,,0.0,109.0,Moderate
,144.54,8.45,9.39,,6.87,0.33,94.32,47.12,,,140.0,Moderate
,205.38,7.71,9.77,,,0.3,42.19,19.6,,,139.0,Moderate
20.12,99.16,2.6,9.55,7.28,9.94,0.38,8.06,87.72,,,128.0,Moderate
48.12,,6.33,14.01,20.33,1.43,0.93,7.04,14.11,0.02,0.1,117.0,Moderate
59.63,118.65,33.67,64.12,48.79,43.0,1.03,14.18,27.67,5.02,2.3,147.0,Moderate
80.27,200.51,24.1,28.31,36.81,51.6,1.23,19.95,50.39,6.14,7.35,175.0,Moderate
55.58,88.74,58.55,53.34,77.94,23.22,0.71,5.53,16.48,1.3,1.1,120.0,Moderate
23.83,50.41,8.32,,7.49,30.93,2.13,2.79,,0.24,0.45,104.0,Moderate
29.52,,5.09,17.88,8.93,12.62,10.68,4.89,28.02,4.64,2.01,140.0,Moderate
16.56,41.96,3.03,7.25,6.31,9.48,0.41,6.48,62.01,35.84,0.44,114.0,Moderate
72.47,131.34,3.42,21.2,14.06,10.68,0.75,8.52,133.4,3.96,5.55,170.0,Moderate
65.98,,13.34,34.9,33.63,6.44,0.94,6.95,29.53,2.51,3.59,140.0,Moderate
44.74,73.72,10.75,27.32,23.22,9.58,1.94,8.64,43.56,,,108.0,Moderate
65.98,146.69,0.62,5.03,0.6,13.12,2.37,,50.63,0.0,,133.0,Moderate
58.77,108.44,26.8,11.37,,9.33,,21.41,47.29,,,116.0,Moderate
52.53,166.96,45.57,19.54,65.11,,2.59,21.41,26.01,1.43,,146.0,Moderate
42.97,110.65,4.45,39.3,24.29,16.81,0.75,7.55,43.31,1.31,6.62,117.0,Moderate
26.6,77.51,15.62,16.16,27.33,36.09,2.92,6.7,14.34,0.0,,115.0,Moderate
41.29,89.89,,8.22,,5.13,0.54,6.12,,,,153.0,Moderate
34.35,92.58,5.47,16.94,14.73,29.4,0.78,10.84,48.72,1.55,14.6,110.0,Moderate
65.11,,3.14,4.58,6.75,,3.14,22.27,32.26,0.17,0.04,120.0,Moderate
112.21,,13.85,17.06,31.52,,1.05,11.21,30.68,0.2,1.8,197.0,Moderate
45.67,82.71,6.1,38.21,29.19,29.29,0.94,5.84,44.28,0.36,2.87,110.0,Moderate
35.88,,15.1,10.35,25.45,,0.89,8.49,21.59,,,114.0,Moderate
74.45,110.95,1.54,12.5,7.89,16.66,0.75,19.09,59.61,1.04,2.28,133.0,Moderate
39.25,87.24,2.6,30.86,33.45,12.06,1.35,1.93,81.12,1.59,2.47,148.0,Moderate
66.36,,28.98,11.13,40.11,,1.44,19.03,22.79,0.19,0.76,155.0,Moderate
29.8,24.1,9.46,19.87,27.18,16.36,1.08,4.42,47.02,0.15,1.38,101.0,Moderate
64.35,108.24,10.27,43.03,43.97,15.71,1.08,7.03,47.83,1.07,19.47,121.0,Moderate
42.37,,4.37,15.42,16.21,,1.03,4.94,36.09,0.76,2.04,141.0,Moderate
30.72,62.59,54.56,60.43,114.91,11.35,1.08,4.48,18.5,4.35,9.05,114.0,Moderate
30.33,99.38,24.02,26.7,49.39,23.04,0.6,7.97,31.9,9.12,,113.0,Moderate
34.12,39.61,8.25,16.49,22.86,27.36,0.83,5.89,62.67,1.03,2.37,105.0,Moderate
40.54,94.39,9.56,33.94,32.87,15.47,0.99,5.95,51.67,0.83,2.61,115.0,Moderate
59.78,,8.1,23.51,18.93,9.53,0.87,7.79,28.31,31.48,23.22,113.0,Moderate
30.12,,10.44,17.82,26.91,,0.71,7.07,14.33,0.61,2.91,101.0,Moderate
60.0,126.12,11.43,19.26,24.54,20.22,1.07,10.13,37.83,1.35,6.78,138.0,Moderate
72.89,,6.08,11.5,17.58,,1.15,5.13,35.8,0.18,0.68,199.0,Moderate
40.72,,8.58,29.4,19.66,,1.46,39.44,46.39,1.14,6.47,109.0,Moderate
98.05,191.53,19.01,62.83,48.04,16.65,1.28,13.18,70.78,4.17,6.77,192.0,Moderate
94.49,173.59,16.78,38.54,47.11,44.48,1.03,11.47,40.95,1.16,2.82,189.0,Moderate
73.75,114.17,10.06,38.15,9.48,20.75,0.0,7.78,47.92,0.04,0.35,183.0,Moderate
92.38,205.42,21.66,21.67,44.01,6.61,0.17,2.87,9.65,10.0,2.81,170.0,Moderate
40.22,100.16,50.57,50.71,101.3,,1.95,14.27,41.95,2.07,,132.0,Moderate
74.56,121.44,15.9,68.76,71.74,56.02,1.35,5.33,60.88,1.63,6.44,166.0,Moderate
40.29,71.48,0.95,8.31,5.06,4.72,0.68,8.87,86.53,,,119.0,Moderate
,192.25,6.83,7.0,,6.64,0.0,,19.4,,,179.0,Moderate
42.72,98.38,3.75,31.97,31.3,,1.55,3.02,53.46,0.25,1.1,124.0,Moderate
28.55,89.1,4.11,38.65,21.89,,4.11,19.14,31.5,8.51,37.5,140.0,Moderate
85.99,,45.67,59.66,63.01,30.01,0.56,11.41,28.24,0.0,0.0,180.0,Moderate
90.76,159.11,3.33,25.04,23.64,11.45,0.54,7.96,89.14,2.0,5.29,199.0,Moderate
,99.24,8.25,8.88,,6.79,0.35,109.58,30.87,,,151.0,Moderate
43.05,,6.99,26.81,11.19,,0.96,43.05,79.18,1.2,6.36,125.0,Moderate
63.24,136.41,16.09,14.98,15.21,102.21,0.65,9.94,5.09,0.0,,126.0,Moderate
38.36,94.01,10.19,8.41,,12.13,0.67,8.64,10.34,2.22,0.95,106.0,Moderate
25.04,89.26,9.79,33.02,22.96,51.77,1.72,5.43,26.44,0.77,1.47,103.0,Moderate
96.33,186.31,7.72,28.36,36.08,3.66,1.71,3.36,21.55,5.7,7.97,197.0,Moderate
,33.06,8.81,9.14,,6.3,2.28,4.73,3.44,,,123.0,Moderate
18.47,52.91,7.36,16.89,15.06,16.57,0.8,11.49,22.14,0.11,0.09,111.0,Moderate
40.46,131.87,31.85,26.2,42.08,15.21,0.73,9.2,16.56,1.3,1.1,117.0,Moderate
36.68,54.36,12.21,37.71,105.59,41.83,1.3,8.11,37.7,1.96,6.02,148.0,Moderate
78.69,,6.9,24.63,,,0.88,9.91,34.61,0.04,4.42,161.0,Moderate
48.61,,11.66,40.72,17.62,,1.48,38.38,80.71,1.41,7.98,142.0,Moderate
31.4,130.88,129.06,3.36,101.72,6.14,1.29,20.56,1.35,,0.0,123.0,Moderate
68.2,113.31,19.12,13.29,29.59,12.35,0.62,23.16,41.89,1.29,1.09,115.0,Moderate
47.27,114.29,6.29,10.38,12.08,3.2,0.78,7.36,58.07,2.4,4.3,131.0,Moderate
59.09,129.05,14.57,51.44,53.49,52.75,0.87,14.03,53.36,3.39,14.02,145.0,Moderate
64.96,104.62,18.56,77.07,50.81,14.18,0.89,8.87,50.62,1.95,1.33,109.0,Moderate
28.37,114.11,20.75,16.36,29.69,12.73,0.63,8.45,43.57,1.29,1.09,118.0,Moderate
49.88,113.74,9.69,26.83,31.03,17.9,0.53,11.33,36.83,0.52,4.39,103.0,Moderate
39.38,115.93,35.15,19.51,54.67,,1.93,19.11,24.46,1.16,,118.0,Moderate
46.17,106.5,7.61,39.01,38.88,44.59,0.95,12.7,43.18,1.55,7.89,109.0,Moderate
42.49,109.4,24.45,19.65,35.85,14.03,0.72,9.64,,1.76,2.06,101.0,Moderate
63.96,,6.06,16.72,10.04,13.47,1.06,5.52,27.47,0.38,3.45,167.0,Moderate
62.88,108.38,51.52,39.8,87.26,13.14,1.17,6.9,29.78,27.67,40.3,149.0,Moderate
44.1,,11.98,16.92,12.74,14.63,7.07,11.24,19.53,3.44,3.87,124.0,Moderate
